Kernel,Function,n_intervals,Quadrature Degree,Error,m
np.abs(x-t),Linear Function (t),20,2,0.011857337468814793,4
np.abs(x-t),Linear Function (t),20,2,0.035724486585934474,10
np.abs(x-t),Linear Function (t),50,2,0.014181754563462236,4
np.abs(x-t),Linear Function (t),50,2,0.044836788614609435,10
np.abs(x-t),Linear Function (t),200,2,0.015273702972315959,4
np.abs(x-t),Linear Function (t),200,2,0.0523431254444261,10
np.abs(x-t),Linear Function (t),500,2,0.01541264173426593,4
np.abs(x-t),Linear Function (t),500,2,0.053474969905422984,10
np.abs(x-t),Linear Function (t),20,3,0.012546497311392117,4
np.abs(x-t),Linear Function (t),20,3,0.03468668723167866,10
np.abs(x-t),Linear Function (t),50,3,0.015031262312085621,4
np.abs(x-t),Linear Function (t),50,3,0.04822679352299832,10
np.abs(x-t),Linear Function (t),200,3,0.015369750822815281,4
np.abs(x-t),Linear Function (t),200,3,0.05313066582160131,10
np.abs(x-t),Linear Function (t),500,3,0.015448983677501511,4
np.abs(x-t),Linear Function (t),500,3,0.05375420482332143,10
np.abs(x-t),Exponential Function (exp(2*t)),20,2,0.11140068621899868,4
np.abs(x-t),Exponential Function (exp(2*t)),20,2,0.23173956923460182,10
np.abs(x-t),Exponential Function (exp(2*t)),50,2,0.11836219742495047,4
np.abs(x-t),Exponential Function (exp(2*t)),50,2,0.22376218390407399,10
np.abs(x-t),Exponential Function (exp(2*t)),200,2,0.12010753045910061,4
np.abs(x-t),Exponential Function (exp(2*t)),200,2,0.24832413444264345,10
np.abs(x-t),Exponential Function (exp(2*t)),500,2,0.12011952686374539,4
np.abs(x-t),Exponential Function (exp(2*t)),500,2,0.25147756469188376,10
np.abs(x-t),Exponential Function (exp(2*t)),20,3,0.1626931055107823,4
np.abs(x-t),Exponential Function (exp(2*t)),20,3,0.17945683182716987,10
np.abs(x-t),Exponential Function (exp(2*t)),50,3,0.12414304892965777,4
np.abs(x-t),Exponential Function (exp(2*t)),50,3,0.23510867753157383,10
np.abs(x-t),Exponential Function (exp(2*t)),200,3,0.12069003022678348,4
np.abs(x-t),Exponential Function (exp(2*t)),200,3,0.2504788172378304,10
np.abs(x-t),Exponential Function (exp(2*t)),500,3,0.12009461272593303,4
np.abs(x-t),Exponential Function (exp(2*t)),500,3,0.2522068304820706,10
np.abs(x-t),Sine Function (sin(6*t)),20,2,0.20052788385332254,4
np.abs(x-t),Sine Function (sin(6*t)),20,2,0.2081232131021925,10
np.abs(x-t),Sine Function (sin(6*t)),50,2,0.20821738669042333,4
np.abs(x-t),Sine Function (sin(6*t)),50,2,0.11068234022077961,10
np.abs(x-t),Sine Function (sin(6*t)),200,2,0.20976704729419482,4
np.abs(x-t),Sine Function (sin(6*t)),200,2,0.12014369317180729,10
np.abs(x-t),Sine Function (sin(6*t)),500,2,0.20979538190025837,4
np.abs(x-t),Sine Function (sin(6*t)),500,2,0.1210681578301932,10
np.abs(x-t),Sine Function (sin(6*t)),20,3,0.19584730135732897,4
np.abs(x-t),Sine Function (sin(6*t)),20,3,0.08142210286440092,10
np.abs(x-t),Sine Function (sin(6*t)),50,3,0.20810099071393495,4
np.abs(x-t),Sine Function (sin(6*t)),50,3,0.11453036772601592,10
np.abs(x-t),Sine Function (sin(6*t)),200,3,0.20913287125725255,4
np.abs(x-t),Sine Function (sin(6*t)),200,3,0.12071295205982369,10
np.abs(x-t),Sine Function (sin(6*t)),500,3,0.21034541827875997,4
np.abs(x-t),Sine Function (sin(6*t)),500,3,0.12125418985928467,10
2*np.sin(xt),Linear Function (t),20,2,0.0040501121140286145,4
2*np.sin(xt),Linear Function (t),20,2,0.004291953932047399,10
2*np.sin(xt),Linear Function (t),50,2,0.004039113325509547,4
2*np.sin(xt),Linear Function (t),50,2,0.004287006338017374,10
2*np.sin(xt),Linear Function (t),200,2,0.0040231906506837944,4
2*np.sin(xt),Linear Function (t),200,2,0.0042837021522561525,10
2*np.sin(xt),Linear Function (t),500,2,0.004021187069133791,4
2*np.sin(xt),Linear Function (t),500,2,0.004282951464843698,10
2*np.sin(xt),Linear Function (t),20,3,0.004037811848652595,4
2*np.sin(xt),Linear Function (t),20,3,0.004289128030558587,10
2*np.sin(xt),Linear Function (t),50,3,0.004018175034472993,4
2*np.sin(xt),Linear Function (t),50,3,0.004285204872201964,10
2*np.sin(xt),Linear Function (t),200,3,0.004021646669017276,4
2*np.sin(xt),Linear Function (t),200,3,0.004283132176781335,10
2*np.sin(xt),Linear Function (t),500,3,0.004020559265160539,4
2*np.sin(xt),Linear Function (t),500,3,0.004282713510561198,10
2*np.sin(xt),Exponential Function (exp(2*t)),20,2,1.0050793645707439,4
2*np.sin(xt),Exponential Function (exp(2*t)),20,2,1.000482298477834,10
2*np.sin(xt),Exponential Function (exp(2*t)),50,2,1.0045735017064779,4
2*np.sin(xt),Exponential Function (exp(2*t)),50,2,1.000320988697712,10
2*np.sin(xt),Exponential Function (exp(2*t)),200,2,1.0038677563299745,4
2*np.sin(xt),Exponential Function (exp(2*t)),200,2,1.0002600194279931,10
2*np.sin(xt),Exponential Function (exp(2*t)),500,2,1.00379824615633,4
2*np.sin(xt),Exponential Function (exp(2*t)),500,2,1.0002494434502807,10
2*np.sin(xt),Exponential Function (exp(2*t)),20,3,1.0044302836792103,4
